date,home_team,away_team,result,b365_1,b365_x,b365_2
2021-08-22,Bologna,Salernitana,1,1.65,4.0,5.0
2021-08-22,Udinese,Juventus,X,7.5,4.33,1.45
2021-08-22,Napoli,Venezia,1,1.22,6.5,12.0
2021-08-22,Roma,Fiorentina,1,1.72,3.8,4.75
2021-08-23,Sampdoria,Milan,2,4.0,3.6,1.9
2021-08-23,Cagliari,Spezia,X,1.95,3.4,4.0
2021-08-27,Udinese,Venezia,1,1.7,3.75,5.0
2021-08-27,Verona,Inter,2,5.5,4.33,1.55
2021-08-28,Atalanta,Bologna,X,1.33,5.5,8.0
2021-08-28,Lazio,Spezia,1,1.33,4.75,9.5
2021-08-28,Fiorentina,Torino,1,2.2,3.4,3.25
2021-08-28,Juventus,Empoli,2,1.22,6.5,12.0
2021-08-29,Genoa,Napoli,2,6.0,4.5,1.5
2021-08-29,Sassuolo,Sampdoria,X,2.0,3.6,3.6
2021-08-29,Milan,Cagliari,1,1.44,4.5,7.0
2021-08-29,Salernitana,Roma,2,5.5,4.33,1.55
2021-09-11,Atalanta,Fiorentina,2,1.55,4.33,5.5
2021-09-11,Empoli,Venezia,2,1.8,3.8,4.2
2021-09-11,Napoli,Juventus,1,2.4,3.6,2.8
2021-09-12,Sampdoria,Inter,X,5.0,4.0,1.61
2021-09-12,Cagliari,Genoa,2,2.0,3.5,3.75
2021-09-12,Spezia,Udinese,2,3.2,3.4,2.3
2021-09-12,Torino,Salernitana,1,1.57,4.2,5.75
2021-09-12,Milan,Lazio,1,2.2,3.6,3.1
2021-09-12,Roma,Sassuolo,1,1.57,4.75,5.0
2021-09-13,Bologna,Verona,1,2.1,3.7,3.2
2021-09-17,Sassuolo,Torino,2,1.72,4.0,4.33
2021-09-18,Salernitana,Atalanta,2,10.0,5.5,1.3
2021-09-18,Genoa,Fiorentina,2,3.3,3.3,2.25
2021-09-18,Inter,Bologna,1,1.36,5.0,8.5
2021-09-19,Empoli,Sampdoria,2,2.55,3.6,2.6
2021-09-19,Venezia,Spezia,2,2.45,3.4,2.9
2021-09-19,Lazio,Cagliari,X,1.44,4.75,7.0
2021-09-19,Verona,Roma,1,4.0,3.8,1.83
2021-09-19,Juventus,Milan,X,2.1,3.4,3.5
2021-09-20,Udinese,Napoli,2,4.5,3.6,1.83
2021-09-21,Bologna,Genoa,X,1.95,3.5,3.75
2021-09-21,Atalanta,Sassuolo,1,1.5,4.75,6.0
2021-09-21,Fiorentina,Inter,2,3.75,3.6,1.9
2021-09-22,Cagliari,Empoli,2,2.0,3.75,3.4
2021-09-22,Milan,Venezia,1,1.25,6.0,12.0
2021-09-22,Salernitana,Verona,X,3.5,3.4,2.05
2021-09-22,Spezia,Juventus,2,8.0,5.5,1.33
2021-09-23,Sampdoria,Napoli,2,4.2,3.6,1.83
2021-09-23,Torino,Lazio,X,3.25,3.5,2.15
2021-09-23,Roma,Udinese,1,1.55,4.2,5.5
2021-09-25,Spezia,Milan,2,7.0,4.5,1.45
2021-09-25,Inter,Atalanta,X,1.9,3.75,3.8
2021-09-25,Genoa,Verona,X,2.75,3.25,2.62
2021-09-26,Napoli,Cagliari,1,1.25,6.0,11.0
2021-09-26,Lazio,Roma,1,2.62,3.5,2.6
2021-09-26,Udinese,Fiorentina,2,3.1,3.4,2.3
2021-09-26,Sassuolo,Salernitana,1,1.4,5.0,7.5
2021-09-26,Empoli,Bologna,1,2.6,3.75,2.5
2021-09-26,Juventus,Sampdoria,1,1.3,5.75,9.0
2021-09-27,Venezia,Torino,X,3.6,3.5,2.05
2021-10-01,Cagliari,Venezia,X,1.85,3.5,4.33
2021-10-02,Salernitana,Genoa,1,2.87,3.3,2.45
2021-10-02,Torino,Juventus,2,4.5,3.5,1.8
2021-10-02,Sassuolo,Inter,2,4.33,4.2,1.7
