date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2024-04-15,Fiorentina,Genoa,D,1,1,1.85,3.5,4.33
2024-04-15,Atalanta,Verona,D,2,2,1.45,4.5,7.0
2024-04-19,Genoa,Lazio,A,0,1,3.1,3.1,2.45
2024-04-19,Cagliari,Juventus,D,2,2,5.0,3.5,1.75
2024-04-20,Empoli,Napoli,H,1,0,4.75,4.0,1.7
2024-04-20,Verona,Udinese,H,1,0,2.55,3.1,3.0
2024-04-21,Sassuolo,Lecce,A,0,3,2.3,3.3,3.2
2024-04-21,Torino,Frosinone,D,0,0,1.67,3.8,5.25
2024-04-21,Salernitana,Fiorentina,A,0,2,5.0,4.0,1.67
2024-04-21,Monza,Atalanta,A,1,2,4.0,3.8,1.85
2024-04-22,Roma,Bologna,A,1,3,2.4,3.1,3.2
2024-04-22,Milan,Inter,A,1,2,3.75,3.6,2.0
2024-04-25,Udinese,Roma,A,1,2,3.3,3.4,2.15
2024-04-26,Frosinone,Salernitana,H,3,0,1.4,4.75,7.5
2024-04-27,Lecce,Monza,D,1,1,2.0,3.25,4.0
2024-04-27,Juventus,Milan,D,0,0,2.1,3.3,3.6
2024-04-27,Lazio,Verona,H,1,0,1.62,3.8,6.0
2024-04-28,Inter,Torino,H,2,0,1.53,3.8,7.0
2024-04-28,Bologna,Udinese,D,1,1,1.6,3.8,6.0
2024-04-28,Atalanta,Empoli,H,2,0,1.44,4.5,7.5
2024-04-28,Napoli,Roma,D,2,2,1.95,3.6,4.0
2024-04-28,Fiorentina,Sassuolo,H,5,1,1.7,3.8,5.0
2024-04-29,Genoa,Cagliari,H,3,0,2.25,3.1,3.5
2024-05-03,Torino,Bologna,D,0,0,2.88,2.8,2.88
2024-05-04,Monza,Lazio,D,2,2,4.33,3.75,1.83
2024-05-04,Sassuolo,Inter,H,1,0,6.0,4.5,1.5
2024-05-05,Cagliari,Lecce,D,1,1,2.15,3.2,3.75
2024-05-05,Empoli,Frosinone,D,0,0,2.38,3.3,3.1
2024-05-05,Verona,Fiorentina,H,2,1,3.1,3.3,2.3
2024-05-05,Milan,Genoa,D,3,3,1.45,4.5,6.5
2024-05-05,Roma,Juventus,D,1,1,2.88,3.1,2.7
2024-05-06,Salernitana,Atalanta,A,1,2,7.5,5.5,1.36
2024-05-06,Udinese,Napoli,D,1,1,3.75,3.6,1.95
2024-05-10,Frosinone,Inter,A,0,5,4.5,4.0,1.73
2024-05-11,Napoli,Bologna,A,0,2,2.1,3.4,3.5
2024-05-11,Milan,Cagliari,H,5,1,1.4,5.25,6.5
2024-05-12,Lazio,Empoli,H,2,0,1.57,4.0,5.75
2024-05-12,Genoa,Sassuolo,H,2,1,2.2,3.5,3.2
2024-05-12,Verona,Torino,A,1,2,3.0,3.0,2.55
2024-05-12,Juventus,Salernitana,D,1,1,1.14,8.5,17.0
2024-05-12,Atalanta,Roma,H,2,1,2.0,3.6,3.6
2024-05-13,Lecce,Udinese,A,0,2,2.63,3.1,2.8
